,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
107740,1dcc8695-87ef-4166-a22b-b70930719712,A patient comes with fracture in symphysis and left angle region. What will be the treatment,2 plates in symphysis and 1 plate in angle region,1 plate in symphysis and 2 plates in angle region,1 plate each in both region,IMF,0,multi,,Surgery,
107832,fbea5a56-7055-4a57-9286-f1d54df1ba08,A 45 years old female diabetic patient on insulin is brought to hospital in unconscious state. What is the first line of treatment?,I.V.insulin,I.V.infusion of dextrose,I.V.dexamethasone injection,Blood glucose test,3,single,,Medicine,
108008,167c7f4d-e052-4673-b295-a287f0b2bdb2,The treatment most likely to benefit a patient of massive pulmonary embolism in shock ?,Thrombolytic therapy,Inotropic agent,Vasodilator therapy,Diuretic therapy,0,single,"Ans. is 'a' i.e., Thrombolytic therapy Treatment of patients with pulmonary embolism based on risk stratificationPatient with pulmonary embolismLow risk (Small PE)Intermediate nsk (Submassive PE)High nsk (Massive PE)o Normotensiono Normotensiono HypotensionPlusPlusPluso Normal right ventricularo Right ventrucular dysfunctiono R V dysfunctionfunction(RV hypokinesia on echocardiogram) |||o T reatment of choice iso Treatment is controversialo Treatment of choice isanticoagulation Thrombolysis (or Embolectomy )",Medicine,Shock
108331,1f99b323-2b0e-40dd-a273-41a89b941b9f,A 24 year male came with history of intensive itchy papules over elbows. He was diagnosed with coeliac disease 2 years back. Histopathology shows papillary tip microabscesses. Which of the following drug will you recommend for the treatment?,Acitretin,Cyclosporine,Dapsone,Rituximab,2,single,"Intense pruritic lesions over extensor surface, accumulation of neutrophilis in the dermal papilla and association of coeliac disease is suggestive of Dermatitis herpetiformis and Dapsone is the drug of choice for the same.",Dental,
108360,10629bac-8395-4fbe-9564-af8e68d4f5fd,All of the following drugs useful in the treatment of a patient with acute bronchial asthma EXCEPT: March 2004,Ipratropium,Salbutamol,Monteleukast,Hydrocoisone,2,multi,Ans. C i.e. Monteleukast,Pharmacology,
108378,f3325543-4d99-47dc-bd2a-5a159f0725fa,The drug of choice in treatment of infantile spasms is:,ACTH,Phenobarbitone,Carbamazepine,Phenytoin,0,single,Coicosteroids afford symptomatic relief. Valproate and clonazepam have adjuvant value. Vigabatrin has some efficacy Refr: KD Tripatih 8th ed.,Pharmacology,Central Nervous system
108560,cd6f07c7-5b18-4ebe-9922-716c5be33d97,"A patient is in shock with gross comminuted fracture.
Immediate treatment is to give",Normal saline intravenously,Ringer's Lactate solution intravenously,Blood transfusion,Plasma expanders,1,single,,Surgery,
108591,e5b806c7-b0f5-4101-892a-d9534a25509a,"A 35 year old male with history of multiple sex partners, comes up with urethral discharge. Best treatment option is -",Cefixime+ azithromycin,Ceftriaxone + quinolone,Erythromycin,Ceftriaxone + doxycycline,0,multi,Ans-A Cefixime+ azithromycin,Unknown,
108620,9aec1f44-c392-40b6-95f6-289690837f65,"In mandibular deciduous tooth with poor prognosis, alveolar
abscess and necrotic pulp, the treatment of choice:",Extraction,RCT,Apicoectomy,Drainage of abscess,0,single,"In mandibular deciduous tooth with poor prognosis, alveolar abscess and necrotic pulp, the treatment of choice is extraction.",Dental,
108917,c7dd06a2-e7b5-438e-9441-ec3eefdec296,A woman presents to the Gynecology outpatient depament with history of stress incontinence. Which of the following is the treatment of choice for genuine stress incontinence?,Burch Colposuspension,Kelly's Procedure,Sling Suspension Procedure,Tension Free Vaginal Taping (TVT),3,single,"The latest modification of the midurethral sling into a tension-free vaginal mesh made up of polypropylene and it is placed at the level of the midurethra. This pioneering technique, developed in Sweden, was introduced to the United States in the late 1990s. It is used as a minimally invasive technique for surgical correction of genuine SUI. Repo have determined that TVT is the treatment of choice for stress urinary incontinence. Ref: Danfoh's obs & gyn - 9th edition, Page 54; Shaw's textbook of Gynaecology 12th edition, Pagees 135-139.",Gynaecology & Obstetrics,
108949,8b661a7e-46f4-4715-8e6c-64eb98d20c61,"A Female patient comes for treatment of discoloured maxillary canine tooth. On examination there is yellowish discoloration of tooth which is not tender on palpation or percussion test. Radiograph reveals obliteration of root canal. History of trauma is elicited on questioning.

What is the condition?",Fibrous degeneration of pulp,Calcific metamorphosis,Pulp calcification,Dental fluorosis,1,single,,Dental,
108967,b146baf3-923a-4878-8dd3-98cc7af90cce,Drugs that can be used for out patient treatment of community acquired pneumonia are:,Ceftriaxone,Cefazolin,Imipenem,Azithromycin,3,single,"Azithromycin This new azalide congener of erythromycin has an expanded spectrum, improved pharmacokinetics, better tolerability and drug interaction profiles. It is more active than other macrolides against H. influenzae, but less active against gram-positive cocci. High activity is exeed on respiratory pathogens-Mycoplasma, Chlamydia pneumoniae, Legionella, Moraxella and on others like Campylobacter, Ch. trachomatis,H. ducreyi, Calymm, granulomatis, N. gonorrhoea However, it is not active against erythromycin.resistant bacteria. Penicillinase producing Staph aureus are inhibited but not MRSA. Good activity is noted against MAC. Because of higher efficacy, better gastric tolerance and convenient once a day dosing azithromycin is now preferred over erythromycin as first choice drug for infections such as: (a) Legionnaires&; pneumonia: 500 mg OD oral/ i.v. for 2 weeks. Erythromycin or a FQ are the alternatives. (b) Chlamydia trachomatis: nonspecific urethritis and genital infections in both men and women- 1 g single dose is curative, while 3 weekly doses are required for lymphogranuloma venereum. It is also the drug of choice for chlamydia! pneumonia and is being preferred over tetracycline for trachoma in the eye. (c). Donovanosis caused by Calymmatobacterium granulomatis: 500 mg OD for 7 days or 1.0 g weekly for 4 weeks is as effective as doxycycline. (d) Chancroid and PPNG urethritis: single 1 .0 g dose is highly curative. The other indications of azithromycin are pharyngitis, tonsillitis, sinusitis, otitis media, pneumonias, acute exacerbations of chronic bronchitis, streptococcal and some staphylococcal skin and soft tissue infections. In combination with at least one other drug it is effective in the prophylaxis and treatment of MAC in AIDS patients. Other potential uses are in typhoid, toxoplasmosis and malaria. ESSENTIALS OF MEDICAL PHARMACOLOGY K.D.TRIPATHI SIXTH EDITION PAGE NO:730,731",Pharmacology,Chemotherapy
108992,54b18f77-f1b1-46b9-84e5-691eb6138577,"A patient with anaphylactic shock, after receiving penicillin injection comes to you, Which of the following life-saving treatment you would take into consideration",Intravenous hydrocortisone hemisuccinate,Intravenous adrenaline hydrochloride,Intramuscular adrenaline hydrochloride,Intravenous glucose saline,2,single,,Pharmacology,
109008,9ec06a2b-09c1-471e-a57f-d79180a63045,"A 30- years old female presented with unilateral breast cancer associated with axillary lymph node enlargement. Modified radical mastectomy was done, further treatment plan will be:",Observation and follow-up,Adriamycin based chemotherapy followed by tamoxifen depending on estrogen/progesterone receptor status,Adriamycin based chemotherapy only,Tamoxifen only,1,single,Ans. (b) Adriamycin based chemotherapy followed by tamoxifen depending on estrogen/progesterone receptor status* A case of LABC- MRM is followed by - CAF+ Hormone therapy based on ER +/-,Surgery,Breast
109139,2cbcf950-fcda-4089-972c-a8d7090fb8ec,"A 30 year old male presents to the clinic with swelling on the left side of his lower jaw. He gives no history of any previous surgical treatment. On extraoral examination, an asymmetrical face is seen. On palpation, bony hard swelling is appreciated.
Under polarized light source, apple-green colour birefringence of amyloid deposited in fibrous connective tissue stroma is seen. The most probable diagnosis for this patient is:",Pindborg tumor,Complex odontoma,Odontogenic myxoma,Postsurgical calcifying bony defect,0,single,"Scattered flecks of calcification throughout the radiolucency have given rise to the descriptive term of a 'driven snow' appearance. Another characteristic feature of the Pindborg tumour is the presence of calcification,  sometimes in large amounts and often in the form of Liesegang rings. The postsurgical calcifying defect is easily eliminated from consideration, if there is no recent surgical procedure in the patient's history. Compound odontomas have a number of tooth-like structures or denticles that look like deformed teeth.",Radiology,
109216,f98f7caa-c60f-4f31-a97a-211075be89d7,A 50-year-old male presents with hematuria. He is diagnosed of having bladder cancer which extends muscle deep. The best treatment:,Intra vesical chemotherapy,Neoadjuvant chemotherapy followed by radical cystectomy,Radiotherapy,Transurethral resection,1,single,"Ans. (b) Neoadjuvant chemotherapy followed by radical cystectomyRef: Bailey 26th Edition, Page 1335* Neoadjuvant chemotherapy improves survival by about 5 -7 %. Radical cystectomy is the standard treatment for muscle invasive bladder cancer.",Surgery,Urethra & Penis
109293,cc8fdfe3-d9a5-441b-a5b0-2bd9d9ed070e,"A 45 year old female patient comes to the clinic for routine general checkup. She is a known diabetic and is on insulin therapy. On general examination, truncal obesity is seen. The sensitivity of the agent used in the treatment of this patient is enhanced by which of the following?",Leptin,Adiponectin,Glucagon,Insulin,1,single,"Since the discovery in the last 20 years that adipose tissue secretes hormones such as leptin and adiponectin, known as adipokines, its role as an endocrine organ has been recognized. 
Leptin, regulates energy homeostasis by stimulating energy use and limiting food intake. If it is lacking, food intake may be uncontrolled, causing obesity. 
Adiponectin modulates glucose and lipid metabolism in muscle and liver, and enhances the sensitivity of tissues to insulin.

Reference : HARPERS ILLUSTRATED BIOCHEMISTRY30th ed Page no 261",Biochemistry,
109490,9a8fb36e-4322-40e3-ad6e-552cb343c441,Moral treatment of mentally ill-patient was first stressed by:,Pinel,Morel,Kraepelin,Sigmund freud,0,multi,"Moral treatment of mentally ill patients using humane methods was first stressed by Pinel. Person Significance 1. Philippe Pinel The Moral Treatment of Insanity 2. Benedict Morel Coined the term 'Demence precoce"". 3. Emil Kraepelin Divided major psychoses into 'Dementia praecox' and 'Manic-Depressive Psychosis' 4. Sigmund Freud founded psychoanalysis wrote the book'The Interpretation of Dreams'",Psychiatry,Miscellaneous
109561,a61459d2-c926-4e01-8025-219ec41f3188,A 60 year old female presents to the clinic with complaints of involuntary passage of urine while coughing or during physical strain. Which of the following is the definitive treatment of choice in this patient?,Exercise,Bladder neck repair,Colpo suspension,Ureter reimplantation,1,single,Surgery is the definitive management of stress incontinence. It is a sling procedure with a piece of fascia attached to the rectus muscle or os pubis and surrounding the urethra at the bladder neck.,Gynaecology & Obstetrics,
109859,7d595e68-dfa1-4ce3-9147-2e4c7fa9a6c2,"A 6 year old female patient complains of pain due to a decayed lower right 2nd molar. During the treatment, patient becomes uncooperative and throws a tantrum. The dentist defers the treatment and reschedules the appointment and plans to substitute a high speed hand piece with a slow speed hand piece. The example demonstrated by the dentist falls under which type of conditioning, as described by Skinner?",Positive reinforcement,Negative reinforcement,Omission,Punishment,1,multi,"As an example, a child who views a visit to the hospital clinic as an unpleasant experience may throw a temper tantrum at the prospect of having to go there. If this behavior (response) succeeds in allowing the child to escape the visit to the clinic, the behavior has been negatively reinforced and is more likely to occur the next time a visit to the clinic is proposed. The same can be true, of course, in the dentist's office. If behavior considered unacceptable by the dentist and his staff nevertheless succeeds in allowing the child to escape from dental treatment, that behavior has been negatively reinforced and is more likely to occur the next time the child is in the dental office. In dental practice, it is important to reinforce only desired behavior, and it is equally important to avoid reinforcing behavior that is not desired.",Dental,
109889,ae56c68a-277b-40da-a8e6-fcba4b400f58,A 27-year-old man presents with a left testicular tumor with a 10 cm retroperitoneal lymph node mass. The treatment of choice is -,Radiotherapy,Immunotherapy with interferon and interleukins,Left high inguinal orchiectomy plus chemotherapy,Chemotherapy alone,2,single,"This patient has retroperitoneal lymph node mass, hence its stage II. It's more than 5 cm thus its stage He.
Treatment of stages for HC and beyond is the same for both seminomas & nonseminomas i.e.→ chemotherapy after inguinal orchiectomy",Surgery,
109915,f6f783e1-40a1-4a58-b6cd-119aade2974e,A male did not have alcohol for 2 days presented with seizures treatment given: AIIMS 13,Diazepam,Phenobarbital,Disulfiram,Thiamine,0,single,Ans. Diazepam,Forensic Medicine,
110037,936c81b9-16e7-4d32-b9ac-4c88383e5d93,"A teenage girl complained about increased growth of facial hair. Her menstrual cycle is regular and she has normal body weight. Following may be used in treatment of hirsutism, EXCEPT:",Spironolactone,Flutamide,Cyproterone,Mifepristone,3,multi,"Mifepristone does not used for hirsutism. Spironolactone is an aldosterone antagonist. It possesses anti androgenic propeies and exes its peripheral antiandrogenic effects in the hair follicle by competing for androgenic receptors and displacing dihydrotestosterone at both nuclear and cytosol receptors. Flutamide is a potent, highly specific, nonsteroidal antiandrogen with no intrinsic hormonal or anti gonadotropic activity. Although the exact mechanism of action is unknown, it competitively inhibits target tissue androgen receptor sites. Cyproterone acetate is the an androgen receptor antagonist. Antiandrogenic effects result from competitive displacement of dihydrotestosterone from its receptor and reduction of 5-reductase activity in the skin. Ref: Guess M.K., Andrew D.E., Gagliardi C.L., Emmi A.M. (2007). Chapter 57. Hirsutism. In A.H. DeCherney, L. Nathan (Eds), CURRENT Diagnosis & Treatment Obstetrics & Gynecology, 10e.",Gynaecology & Obstetrics,
110160,251ce2ca-6d86-49a2-a0fa-30fca146d115,"A 32-year-old ex-heroin addict with hepatitis C requires an urgent laparotomy for Rx of a perforated duodenal ulcer. The patient is undergoing treatment with naltrexone. The results of pre-operative coagulation studies include an INR for the prothrombin time of 1.8 and a platelet count of 85,000/cubic mm. Given this scenario, which of the following post-operative analgesic techniques would be most appropriate?",Local anaesthetic-based epidural analgesia.,Ketamine patient-controlled analgesia,Intramuscular Methadone,Fentanyl-based epidural analgesia,1,single,"Ketamine patient-controlled analgesia. The use of opiates in patients receiving naltrexone is likely to be ineffective and is probably also inappropriate. An epidural technique is contra-indicated given the presence of a coagulopathy. Given the options listed here, a Ketamine based analgesic technique would seem most appropriate (not withstanding the fact that some effects of Ketamine are mediated opiate mu and delta receptors).",Surgery,
110377,17a709d8-5c6d-417b-b116-ebab59d3d0b3,"A 50-year-old woman has had easy fatigability and noted a dragging sensation in her abdomen for the past 5 months. Physical examination reveals that she is afebrile. She has marked splenomegaly, but no lymphadenopathy. Laboratory studies show her total WBC count is 250,000/mm3 with WBC differential count showing 64% segmented neutrophils, 11% band neutrophils, 7% metamyelocytes, 5% myelocytes, 4% myeloblasts, 3% lymphocytes, 2% basophils, 2% eosinophils, and 2% monocytes. A bone marrow biopsy is performed, and karyotypic analysis of the cells reveals a t (9;22) translocation. Medical treatment with a drug having which of the following modes of action is most likely to produce a complete remission in this patient?",Activating cellular caspases,Antibody binding to EGF receptors,Delivering normal p53 into cells with viral vectors,Inhibiting tyrosine kinase activity,3,single,"This patient has a classic history and t (9;22) translocation with chronic myelogenous leukemia. The translocation causes uncontrolled nonreceptor tyrosine kinase activity of the BCR-ABL fusion gene. These patients undergo remission with drugs such as imatinib that inhibit tyrosine kinases. Agents that activate caspases theoretically may help in many cases, especially when apoptosis is blocked as in tumors with BCL2 overexpression. Antibodies to epithelial growth factor receptors, such as ERBB2 (HER2) receptors, are beneficial in certain breast tumors with amplification of this gene. Delivery of p53 into cells by viral vectors has not yet been proven to be valuable in cancer treatment, and it is not used in chronic myelogenous leukemia. Translocation of b-catenin to the nucleus occurs in colon cancers when there is a mutational loss of APC genes.",Pathology,Neoplasia
110446,8689946d-d0f6-4135-91f4-31bb480ed195,A patient presents with lower gastrointestinal bleed. Sigmoidoscopy shows ulcers in the sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment?,Intravenous ceftriaxone,Intravenous metronidazole,Intravenous steroids sulphasalazine,Hydrocoisone enemas,1,single,"Amoebic Colitis MC site of amoebic colitis : Cecum and ascending colon Flask shaped ulcers on colonoscopu confirms the diagnosis of amoebic colitis Drug Therapy for Amebiasis Asymptomatic carrier: Luminal agents (Iodoquinol, paromomycin) Acute colitis: Metronidazole and Luminal agents Amebic livet abscess: Metronidazole, tinidazole and Luminal agents Ref: Harrison&;s 19th edition Pgno : 1365",Surgery,G.I.T
110575,825e4be0-04bd-42cc-933c-c29561e96f1c,Goekarman regimen used in for treatment of psoriasis is?,UVB plus coal tar,UVB plus anthralin,Coal tar plus anthralin,UVB plus methotrexate,0,single,Goekerman regimen was invented for the treatment of mild to moderate psoriasis. In this therapy application of crude coal tar application for 2-10 hours is followed by exposure to UVB light. Treatment is now obsolete. Similarly UVB plus anthralin combination is known as Ingram regimen. Ref : Thomas b Habif 6th Ed.,Dental,All India exam
110604,696c710f-3003-4259-b1c6-4dc3757078f2,A 6-year-old child with recurrent URTI with mouth breathing and failure to grow with the high arched palate and impaired hearing.treatment of choice is -,Tonsillectomy,Grommet insertion,Myringotomy with grommet insertion,Adenoidectomy with grommet insertion,3,single,Adenoidectomy with grommet insertionAns. 'd' i.e. Adenoidectomy with grommet insertion Hearing impairment and the option of myringotomy and grommet insertion suggests that the patient is also suffering from Serous otitis media (glue ear/secreting otitis media) which is one of the complications of adenoid hyperplasia.Treatment of glue ear requires myringotomy and grommet insertion.,Unknown,
110645,3a9f0dd9-4d25-480e-bd67-b4f620c50ffb,If a patient is allergic to penicillin and antibiotic prescription is an absolute need in endodontic treatment than which of the following antibiotic can be given:,Clindamycin.,Clavulanic acid.,Doxycycline.,Erythromycin.,0,multi,"“For those patients who are allergic to penicillin or cephalosporin, the recommended antibiotic is clindamycin (600 mg per os, 1 hour before procedure"".",Dental,
110709,c869790a-1a9e-4d40-b01d-5801de2455ab,"A 45-year-old woman complains of tingling in her hands and feet, 24 hours after removal of follicular thyroid carcinoma. Her symptoms rapidly progress to severe muscle cramps, laryngeal stridor, and convulsions. Which of the following laboratory findings would be expected in this patient prior to treatment?",Decreased serum calcium and decreased PTH,Decreased serum calcium and increased PTH,Increased serum calcium and decreased PTH,Increased serum calcium and increased PTH,0,single,"- Given clinical features point towards hypocalcemia resulted from hypoparathyroidism. HYPOPARATHYROIDISM - Most common cause is surgical resection of parathyroids as a complication of thyroidectomy. -Parathyroid levels falls-Hypocalcemia - Hypocalcemia- | Neuromuscular excitability - From mild tingling in hands & feet to severe muscle cramps, laryngeal stridor & convulsions. - Neuropsychiatric manifestations- Depression, Paranoia & Psychoses. Increased PTH in setting of parathyroid adenoma or paraneoplastic syndrome is associated with hypercalcemia (choice D).",Pathology,Parathyroids
110884,c5214ecb-eba5-491e-9b59-563fe024e54b,"A 88 years male patients presented with end stage renal disease with coronary artery block and metastasis in the lungs. Now presents with acute cholecystitis, patient's relatives need treatment to do something -",Open cholecystectomy,Tube cholecystostomy,Laparoscopic cholecystectomy,Antibiotics then elective cholecystectomy,1,single,,Surgery,
110942,95582f8b-24f7-4b09-92db-87689ea994b0,An old man is diagnosed of having major depressive disorder. His son is telling that he always shows suicidal tendencies. What is the treatment of choice for depression with suicidal tendencies?,Clozapine,Miazapine,ECT,Olanzapine,2,single,"ECT is the most effective (about 70-85%) treatment of severe depression--paicularly the delusions and agitation commonly seen with depression in the elderly. It is indicated when medical conditions preclude the use of antidepressants, nonresponsiveness to these medications, and extreme suicidality.It is also effective in the manic disorders and psychoses during pregnancy (when medications may be contraindicated). Ref: Eisendrath S.J., Lichtmacher J.E. (2013). Chapter 25. Psychiatric Disorders. In M.A. Papadakis, S.J. McPhee, M.W. Rabow (Eds), CURRENT Medical Diagnosis & Treatment 2013.",Psychiatry,
111236,3eff5d20-4047-47d7-9ef4-5f6d1b3eab10,Drugs used in the treatment of obesity in a 36 year old man is/are which of the following?,Orlistat,Sibutramine,Rimonabant,All of the above,3,multi,"Orlistat is the saturated derivative of lipstatin, a potent natural inhibitor of pancreatic lipases isolated from the bacterium Streptomyces toxytricini. Its primary function is preventing the absorption of fats from the human diet, thereby reducing caloric intake. It is intended for use in conjunction with a physician-supervised reduced-calorie diet. Sibutramine is a centrally-acting serotonin-nor epinephrine reuptake inhibitor, structurally related to amphetamines. It reduces the reuptake of serotonin, nor epinephrine, and dopamine, thereby increasing the levels of these substances in synaptic clefts and helping enhance satiety. Rimonabant is an anorectic antiobesity drug that has been withdrawn from the market. It is an inverse agonist for the cannabinoid receptor CB1. Its main effect is reduction in appetite.",Pharmacology,
111375,c5c03b51-7849-45d2-86a7-7844337fe454,A 7-year-old child developed acute otitis media. He was treated with antibiotics for 10 days. His pain and fever subsided completely but still had conductive hearing loss. Your next line of treatment is:,Give another course of a different antibiotic,Do a myringotomy and culture the middle ear fluid,Do a myringotomy and insert a grommet,Wait and watch for 3 months for fluid to drain spontaneously,3,single,"Since antibiotic treatment has been effective to relieve pain and fever, the child is left with a sterile fluid in the middle ear. If this fluid does not drain spontaneously in another 12 weeks treat the case as one of otitis media with effusion.",ENT,Ear
111405,9402476c-5eab-4307-b55e-2110c833978f,The following are used for treatment of postoperative nausea and vomiting following squint surgery in children except:-,Propofol,Ketamine,Dexamethasone,Ondansetron,1,multi,"ketamine does not have antiemetic effect, among anaesthetic agent propofol has antiemetic effect. even benzodiazepine has antiemetic effect , midazolam has best antiemetic effect among them.",Anaesthesia,Intravenous Anesthetic Agents
111605,9cf861ee-206a-4e94-9f7e-4bb0e8fda449,The immediate treatment of 10 kg weight infants presented with tetany –,IV Diazepam,IV calcium gluconate with cardiac monitoring,IV slow phenobarbitone,Wait and watch,1,single,,Pediatrics,
111629,0526ed30-73ef-4bdf-9c3e-e0bda2771627,A 45-year-old male comes with binocular diplopia after trauma to face with restricted eye movements. What will be the immediate treatment plan?,Orbital floor reconstruction,Intraoral elevation of zygoma,Reduction and fixation of fracture with miniplate,Orbital floor reconstruction and miniplate fixation,3,single,,Surgery,
111672,98ba6167-b5b7-4ea5-afb2-96f324daf7fd,One of your staff nurse had a deep prick from the needle used to inject an HIV positive individual. What is the treatment regime that should be staed in her/him? Note that drug resistance was suspected in the HIV patient.,2 NIs for 3 months,1 NI and 1 NtI for 28 days,2 NIs + 1 protease inhibitor for 28 days,2 protease inhibitor + 2 NtIs for 3 months,2,single,"In this scenario ARVs should be initiated as soon as possible and no later than 72 hours. It should include 2 NI drugs. If drug resistance is suspected a protease inhibitor should also be added. The duration of treatment is 28 days. If the blood sample drawn from the exposed person is HIV negative at the time of exposure, the test should be repeated at 3 and 6 months. Ref: Park, Edition 21, Page - 328",Social & Preventive Medicine,
111712,eb278717-b522-4278-9cc4-c4f820855cbb,A patient came to the casualty with acute bronchial asthma after treatment of glaucoma. The probable drug may be,Timolol,Betaxolol,Latanoprost,Anticholinesterase,0,single,Timolol is a non selective β blocker (act on β1& β2 ). β2 blocking effect of Timolol cause blockage of dilator β2 receptor so it can precipitate asthma. Whereas Betaxolol is cardioselective beta blocker that acts only on β2  receptor.,Pharmacology,
111841,d8a10f16-7c64-408e-941d-1af8a5dc9ebb,A 50 year old healthy man with a 2 cm Papillary thyroid carcinoma in the right lobe diagnosed on FNAC. What is the recommended treatment ?,Right lobectomy and isthmusectomy,Right lobectomy,Excisional biopsy with frozen section analysis,Total right lobectomy and subtotal left lobectomy,3,single,"Total thyroidectomy or lobectomy on the affected side with subtotal lobectomy on the nonaffected site is the recommended treatment of choice for unifocal PTC greater than 1 cm in diameter. Definitive operation can be performed without frozen section when the diagnosis is unequivocal on FNAC. Papiloma Carcinoma Surgery Node -ve, <1cm - lobectomy >1 cm - Total thyroidectomy Any evidence of spread - Total thyroidectomy Familial disease - Total thyroidectomy Neck irrad'n in childhood - Total thyroidectomy",Surgery,Thyroid
112590,25643801-8895-4bef-9255-294f0077f537,A 9 year-old has multiple itchy erythematous wheals all over the body for 2 days. There is no respiratory difficulty. Which is the best treatment?,Antihelminthics,Systemic coicosteroids,Antihistamines,Adrenaline,2,multi,C i.e. Antihistamines,Skin,
112790,b45d5aab-6be2-4577-a534-ae15660b72ee,"A patient on treatment for leukemia, develops chest pain, pulmonary infiltrates and pleural effusion. The likely cause is",Daunorubicin,Hydroxyurea,Cytarabine,Tretinoin,3,single,"Ans. (D) Tretinoin(Ref: Katzung 10th/899; KDT 8th/e p928)Tretinoin causes chest pain, pleuritis, pulmonary infiltrates and pleural effusion. It is a known human teratogen. Daunorubicin and doxorubicin cause cardiotoxicity manifested as arrhythmias and CHF.",Pharmacology,Chemotherapy: General Principles
112792,c1d1056f-dcd9-45d6-862c-319759f940d2,Which of the following treatment modalities is not used for management of acute blood loss due to ruptured esophageal varices,Endoscopic sclerotherapy,Endoscopic band ligation,Octreotide,Propanalol,3,single,Management of acute variceal bleeding Admit to ICU Blood resuscitation (upto Hb level of 8gm/dl) In patients with severe Coagulopathy - FFP and platelets Sho time antibiotic prophylaxis - ceftriaxone1gm/day IV often given Vasopressin( IV dose of 0.2-0.8 units/ min Somatostatin and octreotide Endoscopic sclerotherapy Shunt therapy or TIPS - refractory bleeding Ref: Sabiston 20th edition Pgno :1437-1440,Anatomy,G.I.T
112859,6e4c8f9b-ab39-46da-b14b-031da5097ac9,The following treatment options are useful in the management of Guillain-Barre Syndrome except -,Intra-venous immunoglobulin,Intra-venous methotrexate,Plasmapheresis,Physical medical rehabilitation,1,multi,,Medicine,
112890,5adb6108-ec87-4402-92c3-7ad6b407a689,A 9-yr-old boy has multiple itchy erythematous wheals all over the body for 2 days. There is no respiratory difficulty. Which is the best treatment?,Antihelminthics,Systemic coicosteroids,Antihistamines,Adrenaline,2,multi,"Anti-histamines are most often used to control pruritus and mild sedation is responsible for antipruritic action. Sedation may limit their usefulness; however, when used at bedtime, sedating anti-histamines may improve the patient's sleep. Systemic steroids and adrenaline are used in severe cases with respiratory difficulty.",Dental,Eczema and related disorders
112903,b7339ad9-3570-40c5-83bc-54c4271ef8b9,An adult male is admitted with history of  pneumonia. The patient is unconscious and is alcoholic past 10 years. What is drug of choice in treatment of pneumonia,Tab Amoxicillin 500mg,Tab Azithromycin 500mg,Inj Clindamycin 600mg,Inj Levofloxacin 500mg,2,single,"In an Alcoholic patient with pneumonia, suspect Bacteroides Fragilis. The drug of choice is Clindamycin.",Medicine,
112939,14c37bff-1e46-40fe-8ce6-f1ab6055f06d,A 43 year old female is diagnosed of having carcinoma of cervix with obstruction of both ureters on imaging studies. What is the treatment of choice in this patient?,Weheim's hysterectomy,Schauta operation,Chemotherapy,Intracavitary brachytherapy followed by external beam radiotherapy,3,multi,"Carcinoma of cervix: Stage III A - Involvement of the lower third of the vagina. Stage III B - Involvement of a parametria to the sidewall or obstruction of one or both ureters on imaging Chemoradiation is the treatment of choice for this stage. Class II hysterectomy is also referred to as a modified radical hysterectomy or Weheim's hysterectomy and is well suited for patients with stage IA2 and small lesions that do not disto the anatomy. Schauta operation is for all cases of stage I A cervical cancer. Chemotherapy with palliative radiation is indicated for stage IV B. Ref: Cain J., ElMasri W.M., Gregory T., Kohn E.C. (2010). Chapter 41. Gynecology. In F.C. Brunicardi, D.K. Andersen, T.R. Billiar, D.L. Dunn, J.G. Hunter, J.B. Matthews, R.E. Pollock (Eds), Schwaz's Principles of Surgery, 9e.",Gynaecology & Obstetrics,
113038,2942f594-51f8-4f52-b601-9f3a71dd78c2,A 65-year-old light-complexioned male presents with a solitary scaly plaque like lesion on his forearm present for many years. The lesion is 0.5 cm in diameter. Shave biopsy reveals intraepithelial squamous cell carcinoma. (Bowen's disease) incompletely excised. Further treatment includes:,Wide excision of the lesions and sentinel node biopsy,Referral for local radiation therapy,"Excision and repair of this area, ensuring clear surgical margins",No further treatment indicated,2,single,Bowen's disease represents an intraepithelial squamous cell carcinoma (carcinoma in situ) and is seen in older patients. These lesions tend to have a long clinical course. Adequate excision is the recommended treatment as these lesions can become invasive squamous cell carcinomas and metastatasize.,Surgery,Breast
