,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,llm_label,llm_reason
3465,f96bdbdb-3b23-405d-9b36-3fde5ca3e00c,"A normal bom child presents with mental retardation, blond hair and convulsions at 1 year of age. Most probable diagnosis is?",Albuminuria,Phenylketonuria,Gaucher's disease,Tyrosinemia,1,single,"ANSWER: (B) PhenylketonuriaREF: Nelson 18th ed chapter 85.1, Harrison's 17th Ed Ch 358See table of ""DISORDERS OF PHENYL ALANINE METABOLISM"" in Biochemistry 2013 Session 2CLASSIC PHENYLKETONURIA (PKU) CLINICAL MANIFESTATIONS:The affected infant is normal at birth.Mental retardation may develop gradually and may not be evident for the 1st few months.Vomiting, sometimes severe enough to be misdiagnosed as pyloric stenosis, may be an early symptom.Older untreated children become hyperactive, with purposeless movements, rhythmic rocking, and athetosis.Infants are lighter in their complexion than unaffected siblings with blonde hairsThese children have an unpleasant odor of phenylacetic acid, which has been described as musty or mousey.Most infants are hypertonic with hyperactive deep tendon reflexes.About 25% of children have seizures, and more than 50% have electroencephalographic abnormalities.Microcephaly, prominent maxilla with widely spaced teeth, enamel hypoplasia, and growth retardation are other common findings in untreated children.",Pediatrics,Inborn Errors of Metabolism,True,The question describes symptoms that can lead to a specific diagnosis without needing multiple-choice options.
3468,44f463fb-afbb-48fc-95ab-203b9b73fc25,"A 32-year-old patient has decreased pain and temperature sensation in the upper extremities, atro¬phy of the intrinsic muscles of his hand, and brisk deep tendon reflexes in the upper extremity. Your diagnosis?",Amyotrophic lateral sclerosis,Multiple sclerosis,Syringomyelia,Subacute combined degeneration,2,single,"The patient is an adult with decreased pain and tem­perature sensation in the upper extremities, atrophy of the intrinsic muscles of his hand, and brisk deep tendon reflexes in the upper extremity. This constella­tion of clinical findings strongly suggests syringomye­lia, which most commonly affects the cervical spinal cord. Syringomyelia refers to a fluid-filled space within the cervical spinal cord that produces (1) cervical cord enlargement, best visualized with magnetic resonance imaging; (2) cape-like neurologic abnormalities in­volving the shoulders and upper extremities; (3) de­creased pain and temperature sensation from involve­ment of the crossed lateral spinothalamic tracts, with preservation of light touch and proprioception; (4) atrophy of the small muscles of the hands from anterior horn cell involvement, simulating amyotrophic lateral sclerosis; (5) involvement of the lateral corticospinal tract with upper motor neuron findings; (6) Horner's syndrome, consisting of pupillary constriction, lid lag, and anhidrosis; (7) and associations with Arnold-Chi­ari malformation and Dandy-Walker cysts.
Regarding the other choices:
Amyotrophic lateral sclerosis involves motor neurons producing upper and lower motor neuron disease. Sensory findings are not present. Multiple sclerosis has sensory and motor deficits.  Subacute combined degeneration occurs in vitamin B12 deficiency and involves the dorsal columns and the lateral corticospinal tract.  Guillain-Barre syndrome is an ascending paralysis without the type of sensory deficits described in this patient.",Unknown,,True,The question provides enough clinical information for diagnosis without needing options.
3469,8c41eb91-0640-49bb-ab07-358d4486d097,"What will be the diagnosis of Ramu, who is 45 year old male with history of chronic smoking and pain in lower limb due to blockage of femoral aery ?",Thromboangitis obliterans,Atherosclerosis,Embolism,Aeritis,1,single,"Ans is 'b' ie Atherosclerosis A 45 yrs old male, chronic smoker is most likely to have atherosclerosis or TAO. Embolism is ruled as there is no likely source of emboli in this pt. (i.e. any hea ds as hea is the source of emboli for leg in 90% of the cases.) Aeritis rarely involves the lower limb vessels. Now Atherosclerosis Vs TAO Atherosclerosis is seen over 40 yrs of age (the highest incidence of atherosclerotic occlusive aerial ds in 6th & 7th decade) Where as TAO is seen in young male below 40 yrs of age. Atherosclerosis causes occlusion of large and medium sized vessels (Abdominal aoa, iliac aeries, femoral aeries, poplitial, tibial & peroneal aeries). TAO involves aeries of small & medium size (i.e. tibial aeries, plantar aries, radial aery) Symptoms of peripheral aerial insufficiency due to atherosclerosis is predominantly seen in lower extremity whereas TAO may cause symptoms in both upper or lower limbs. Thus this pt has Atherosclerosis as TAO does not involve popliteal or femoral vessels.",Surgery,,True,The question can be answered based on the medical information provided without needing options.
3470,72876f0c-3c02-4102-b471-cafedc71ee96,"60 year old man came to OPD with complaint of pain over his toes. Earlier , due to acute STEMI, coronary stenting was performed. On local examination of feet , coloured skin lesions were observed with tenderness(As shown below). Gradual fall in renal functions were also seen . What should be the most probable diagnosis?",Sharp syndrome,Antiphospholipid antibody syndrome,Aoic dissection,Atheroembolism,3,multi,"Atheroembolism =Causes Elderly patients with widespread atherosclerosis Complication of Abdominal aoa surgery As a consequence of angiography =C/F Renal insufficiency or hypeension Livedo reticularis Cerebrovascular events Retinal aery occlusion Acute pancreatitis Ischemic bowels Gangrene of extremities =Urine analysis Increased cellularity, mild proteinuria Eosinophiluria Cholesterol crystals(rare) =Rx Control Hypeension Avoid Hypotension Adequate hydration",Surgery,Aerial disorders,True,"The question is asking for a probable diagnosis based on presented symptoms and context, without referencing options."
3474,c62b4d72-bd0b-4e03-aa3d-fbaac8414682,Diagnostic procedure for basal cell carcinoma:,Wedge biopsy,Shave,Incisional biopsy,Punch biopsy,0,single,Diagnostic procedure for BCC is wedge biopsy,Surgery,Plastic Surgery and Skin Lesions,True,The question can be answered without referencing specific options.
3475,50fb7672-cefe-4356-a2b2-2e4d756966e5,"A 65-year-old male comes to the OPD complaining of ongoing double vision which is worse when he is watching TV in the evening. He has also noticed that he feels weaker towards the end of the day and that his face is slightly puffy. On inspection, there is a paial ptosis of the left eye lid and his mouth hangs slightly open at rest. On examination, there are visibly distended neck veins. What is the most likely diagnosis?",Myasthenia gravis,Lambe Eaton syndrome,Paraneoplastic cerebellar degeneration,Multiple system atrophy,0,single,"Diagnosis : Double vision + Ptosis at the end of the day + weaker at the end of the day= Myasthenia Gravis Option B- Feels stronger at the end of the day. Option C- Presents with gait ataxia, nystagmus, head impulse test negative. Option D- Atypical parkinsonism associated with Cog wheel rigidity, Bradykinesia, Postural instability. Myasthenia gravis (MG) is a relatively common neuromuscular disorder that is caused by antibody-mediated autoimmune destruction of acetylcholine receptors at the neuromuscular junction(Post Synaptic) * Type V Hypersensitivity reaction > Type II Hypersensitivity Reaction. * Receptor of Acetyl choline are affected. It is a post junctional defect. Diagnosis: 1. Anti Ach Receptor blocking Antibody 2. Anti-MUSK Antibody 3. Anti LRP 4 Antibody 4. Single fiber electromyography (SFEMG)=Jitter and blocking - Confirmatory test 5. Repetitive nerve stimulation test. 6. Tensilon test, Or Anticholinesterase test. The treatment of MG may include: Anticholinesterase medications (Pyridostigmine), Immunosuppression, IVIg or plasmapheresis, Surgical intervention( Thymectomy).",Medicine,Myasthenia Gravis and Muscular dystrophy,True,The question presents a clinical scenario allowing for diagnosis without needing specific options.
3478,bd43bc72-0976-4441-9ad2-97e63475a87f,"A 6-month-old infant has poor weight gain, vomiting, episodic fevers, and chronic constipation. Laboratory studies reveal a urinalysis with a pH of 8.0, specific gravity of 1.010, 1+ glucose, and 1+ protein. Urine anion gap is normal. Serum chemistries show a normal glucose and a normal albumin with a hyperchloremic metabolic acidosis. Serum phosphorus and calcium are low. What is the best diagnosis to explain these findings?",Renal tubular acidosis (RTA) type 1,RTA type 3,RTA type 4,Hereditary Fanconi syndrome,3,single,"The nonspecific findings of anorexia, polydipsia and polyuria, vomiting, and unexplained fevers, along with the more specific laboratory abnormalities of glucosuria but normal blood sugar, abnormally high urine pH in the face of mild or moderate serum hyperchloremic metabolic acidosis, and mild albuminuria in the presence of normal serum protein and albumin, suggest Fanconi syndrome (also called global proximal tubular dysfunction). Fan- coni syndrome can be hereditary or acquired; hereditary forms are usually secondary to a genetic abnormality such as cystinosis, galactosemia, Wilson disease, and some mitochondrial abnormalities. A number of agents can cause Fanconi syndrome, including gentamicin (or other aminoglycosides), outdated tetracycline, cephalothin, cidofovir, valproic acid, streptozocin, 6-mercaptopurine, azathioprine, cisplatin, ifosfamide, heavy metals (e.g., lead, mercury, cadmium, uranium, platinum), paraquat, maleic acid, and toluene (from sniffing glue). The mechanism of action of these agents is through acute tubular necrosis, alteration of renal blood flow, intratubular obstruction, or allergic reactions within the kidney itself. Many of these toxic effects are reduced or eliminated with removal of the offending agent. Renal tubular acidosis (RTA) type 1 is a distal RTA, and has a positive urine anion gap, as does RTA type 4. Type 3 is not a recognized type of RTA. Congenital nephrotic syndrome is a rare version of nephrotic syndrome, characterized by edema early in infancy, with hypoalbuminemia.",Pediatrics,Urinary Tract,True,The question asks for a diagnosis based on provided clinical findings and does not reference options.
3480,b60a83e9-26f9-451a-b88f-43a7046fd670,"An inpatient of the hospital suffers burns injury when hot bottles were used for the treatment. In the case, the hospital incharge was also charged for the negligence under the doctrine of ___",Vicarious liability,Res ipsa loquitur,Novus actus interveniens,Contributory negligence,0,single,"Vicarious Liability/Respondeat Superior An employer is responsible not only for his own negligent act, but also for the negligent act of his employees by the principle of 'respondeat superior'. It also called the 'Master-Servant Rule'. In medical practice, usually, the principal doctor becomes responsible for any negligence of his assistants (both medical and para-medical). Both maybe sued by the patient, even though the principal has no pa in the negligent act. A doctor may be associated temporarily with another doctor with the establishment of an employee employer relationship between them. Thus, if one surgeon assists another in the operating room for a fee, the assistant is considered as an employee of the principal surgeon.",Forensic Medicine,Medical Jurisprudence,True,The question asks for a legal doctrine related to negligence without referencing specific options.
3481,f2820d9f-2743-43aa-aca6-b488f71b7929,A mother reported to clinic with her 40 days old child. There is a small ulcer on the tongue which is tender with erupted teeth In mandibular anterior alveolus. What will be your treatment plan:,Remove teeth under LA,Take IOPA if it is primary tooth then save it and do coronoplasty,Advise mother that it is primary tooth and roots will develop later and no treatment of requires,Apply LA gel on tongue and counsel the mother that no treatment is required.,1,multi,,Dental,,True,The question is asking for a treatment plan based on the described symptoms and does not reference specific options.
3484,6c963eeb-285a-4b40-8b0f-bb1d08bf74d2,The immediate treatment of 10 kg weight infants presented with tetany:,IV Diazepam,IV calcium gluconate with cardiac monitoring,IV slow phenobarbitone,Wait and watch,1,single,"(IV, Calcium gluconate with cardiac monitoring) (178-G) (486-87-Ghai 7th)Hypocalcemia* S. calcium less than 7 mg/dL* S. phosphate level may be elevated* ECG - QTc interval is prolonged* X-ray -congenital absence of thymus* Calcium gluconate 2 ml/kg of 10% solution is advised IV slowly to control the seizure, ECG monitoring is necessary during calcium infusion.* Feeds should be low in phosphate, cow milk feeds should be replaced with breast feeding.",Pediatrics,Miscellaneous,True,The question can be answered based on general medical knowledge without needing specific options.
3486,d67f8f6d-d6b7-4123-96a9-4c7471fac7df,"A 2-year-old boy who is primarily on a milk based diet presents with a history of swollen bleeding gums, lethargy and pain while moving limbs. Most likely diagnosis of this patient is:",Vitamin A deficiency,Vitamin B deficiency,Vitamin C deficiency,Vitamin D deficiency,2,single,"Ans. C. Vitamin C deficiencyVitamin C (Ascorbic acid) is structurally related to glucose. Humans and other primates do not synthesize vitamin C. Dietary sources include vegetables (cauliflower, broccoli, cabbage) and fruits (berries, citrus fruits) Vitamin C functions as a strong reducing agent or in electron transport within biological systems. Ascorbic acid is essential for normal function of leukocytes, fibroblasts, osteoblasts and microsomes and participates in metabolism of carnitine, serotonin and folate. Prolonged vitamin C deficiency results in Scurvy. In infancy, features of scurvy are anorexia, diarrhea, pallor, irritability and increased susceptibility to infections. Subperiosteal hemorrhages and long bone tenderness (Pseudoparalysis of lower limbs) can occur; radiologic abnormalities are frequent. In older children, hemorrhagic signs predominate, with bleeding from gums, conjunctiva and intestinal tract. The diagnosis is made by presence of characteristic physical findings and history of inadequate dietary intake of vitamin C. As in this case the child is on a milk based diet which is deficient in both vitamin C and Iron. Therapy includes 100-200mg of vitamin C orally or parenterally",Pediatrics,Nutrition,True,The question provides sufficient information to determine a likely diagnosis without referencing specific options.
3487,08ea41f3-c07f-4988-beec-1eb5668e59d5,"A 45-year-old man present with a daily headache over the past 3 weeks. Each attack lasts about an hour and awakens the patient from sleep. It is associated tearing and reddening of his right eye. The pain is deep, excruciating, and limited to the right side of the head. The neurologic examination is normal. The most likely diagnosis:",Migraine headache,Cluster headache,Tension headache,Brain tumor,1,single,"Cluster headaches, which can cause excruciating hemicranial pain, are notable for their occurrence during characteristic episodes. Usually attacks occur during a 4-to 8-week period in which the patient experiences one to three severe brief headaches daily. There may then be a prolonged pain-free interval before the next episode. Men between ages 20 and 50 are most commonly affected. The unilateral pain is usually associated with lacrimation, eye reddening, nasal stuffiness, ptosis, and nausea. During episodes alcohol may provoke the attacks. Even though the pain caused by brain tumors may awaken a patient from sleep, the typical history and normal neurologic examination do not mandate evaluation for a neoplasm of the central nervous system. Acute therapy for a cluster headache attack consists of oxygen inhalation, although intranasal lidocaine and subcutaneous sumatriptan may also be effective. Prophylactic therapy with prednisone, lithium, methysergide, ergotamine, or verapamil can be administered durinq an episode to prevent further cluster headache attacks.",Unknown,,True,"The question describes symptoms clearly, allowing for an answer without references to options."
3488,8ccdbd67-366e-4797-bc6d-7c78a29d4f42,"53-year-old woman presents to her GP for a follow-up visit after having high BP on her last visit. She is again found to be hypeensive and was prescribed hydralazine, a b-blocker, and furosemide. The woman takes no additional prescription or over-the-counter medications. She complains of muscle aches, joint pain, and rash. Physical exam reveals a temp. of 37.7degC (100.0degF) and a scaling erythematous rash on her face. The physician orders an autoantibody panel: Antinuclear antibodies (ANA): Positive Anti-histone antibodies: Positive What is the most likely diagnosis?",Systemic lupus erythematosus,Hydralazine-induced lupus erythematosus,b-blocker-induced systemic lupus erythematosus,Furosemide-induced systemic lupus erythematosus,1,single,"Rash, ahralgias, and anti-histone antibodies suggest drug-induced systemic lupus erythematosus (SLE). 95% of patients develop ahralgias or myalgias or ahritis in SLE Hydralazine is the causative drug in this case. Positive ANA is nonspecific, as there are many conditions, mostly infectious and autoimmune, that show positive ANA(RIM pattern is specific for SLE). Sensitivity of ANA for drug- induced SLE is 100%, so if ANA is negative, drug-induced SLE can be ruled out. Drugs known to induce SLE- procainamide, chlorpromazine, isoniazid, methyldopa, minocycline, penicillamine, and diltiazem. Drug induced lupus is common in whites and has a less female predilection as compared to SLE Hematological abnormalities, kidney and brain involvement are infrequent and anti-dsDNA antibodies are rarely positive",Medicine,Systemic Lupus Erythematous,True,The question provides sufficient clinical information to arrive at a diagnosis without requiring options.
3490,48ba3f61-7b5d-401a-949c-e3b9ea5dacc9,"A girl at 16 years of age presents with primary amenorrhea. On examination breast development is normal , axillary and pubic hair are present. Vaginal examination reveals an absent vaginal opening. Ultrasound suggests normal ovaries with absent uterus. Most probable diagnosis is?",Androgen insensitivity syndrome,MRKH (Mayer Rokitansky Kuster Hauser Syndrome),Turners syndrome,Pure gonadal dysgenesis,1,single,MRKH Androgen insensitivity syndrome Genotype XX XY Gonad Ovaries Testes Breast development Normal Normal Pubic and axillary hair Normal Absent (insensitivity to testosterone) Vagina Shallow and blind Shallow and blind Uterus Absent Absent Vulva Normal Normal Sr Androgen levels 20-80 ng/dl 200-800 ng/dl TURNERS IS XO - Near normal female phenotype and streak ovaries. This is the most common type of gonadal dysgenesis.,Gynaecology & Obstetrics,Intersex,True,"The question asks for a diagnosis based on provided clinical information, which is independent of options."
3492,76cf6e2b-ec54-40f2-af50-ef2716d42dfe,"A child has a splenic mass with a mediastinal mass. He appears pale, has red eyes and suffers from recurrent infections. Possible diagnosis is -",Acute Lymphoblastic leukemia,Chronic Myeloid Leukemia,Graft vs Host disease,Pulmonary metastasis,0,single,"Ans. is 'a' i.e., Acute Lymphoblastic leukemia o The age group and symptoms of the child are consistent with Acute Lymphoblastic leukemia AcuteLymphoblastic leukemiao Acute lymphoblastic leukemia (ALL) encompasses a group of neoplasms composed of immature, precursor B or T (Pre-T) lymphocytes referred to as lymphoblast.Clinical manifestations of ALLo Symptoms related to depression of normal marrow function.o An accumulation of neoplastic blast cells in the bone marrow suppresses normal hematopoisis by physical crowding and competition for growth factorso This results in : - Anemia - Fatigue, palloro Neutropenia - Infection, intermittent fevero Thrombocytopenia - Bleeding, petechiae, ecchymoses, epistaxis.o These are the most common sign & symptoms.o Bone pain and tenderness resulting from marrow expansion and infiltration of the subperiosteum.o Generalized lymphadenopathy, splenomegaly and hepatomegaly Caused by neoplastic infiltration of these tissues. More common in ALL than AML.o Symptoms related to compression of large mediastinal vessels or airway In Pre-T ALL of thymuso CNS manifestation Due to meningeal involvement. -Headache, vomiting, nerve palsies. More common in ALL than in AML.o Testicular involvement is also more common in ALL than in AML.",Pediatrics,Leukemias and Lymphoma,True,The question presents symptoms and indicates a possible diagnosis without referencing specific options.
3496,e540c2c0-3aa1-431e-a935-497cf0c64848,"A 50 year old male presented with blurring of vision. Urine examination showed proteinuria. Fundus examination showed dot and blot haemorrhages, microaneurysm and cotton wool spots. Histopathology pic of kidney given below. Your diagnosis?",Kimmelstiel Wilson nodules,Crescents,Amyloid,Segmental sclerosis,0,single,"Ans. (a) Kimmelstiel Wilson nodules(Ref: Robbins 9th edp 1118)Diabetic Nephropathy:The renal lesions include mainly: Glomerular lesions:*Basement membrane thickening and increased mesangial matrix in patients*Diffuse glomerulosclerosis#Increase in mesangial matrix associated with PAS+ basement membrane thickening, eventually obliterates mesangial cells, found in most individuals with disease of more than 10 years duration*Nodular glomerulosclerosis#Intercapillary glomerulosclerosis or Kimmelstiel- Wilson diseas",Pathology,Kidney,True,"The question asks for a diagnosis based on a clinical presentation and findings, which does not rely on options."
3497,3665920a-2e5e-42ab-927a-ded2dbf7a2d8,"A male baby was born in a hospital. After 12 hr of bih, baby was found to be pale. His serum total billirubin level was 20 mg/dl and unconjugated bilirubin was 15 mg/dl, after 36 hr of bih, Hemoglobin was 14 g/dl, and reticulocyte count was high. On peripheral smear, nucleated RBC's and spherocytes are seen. Best possible diagnosis is?",Pyruvate kinase deficiency,Sickle cell anemia,Hereditary spherocytosis,Rh incompatibility,2,single,"As the neonate has unconjugated hyperbilirubinemia along with high reticulocyte count, he seems to be having haemolytic anemia. Spherocytes are seen in Hypehermia Hereditary spherocytosis G6PD deficiency ABO incompatibility Hereditary spherocytosis is one of the most common reason for Neonatal hyperbilirubinemia along with G6PD deficiency Diagnosis of hereditary spherocytosis is usually based on:- Positive Family history (not mentioned in this case) Splenomegaly (Uncommon in neonates) Spherocytes on Peripheral smear Reticulocytosis Elevated MCHC Increased Osmotic Fragility",Pediatrics,Hemolytic anemia,True,The question provides enough clinical details to arrive at a diagnosis without referencing options.
3500,edbcd970-a8c4-4d3d-a378-609758e53d9e,"An unconscious patient is brought to causality, requires emergency neurosurgical evacuation, but no relatives or bystanders available. The doctor doing the emergency procedure is protected under",Sec 92 IPC,Sec 102 IPC,Sec 112 IPC,Sec 122 IPC,0,single,"Sec. 92. An act was done in good faith for benefit of a person without consent: Nothing is an offence by reason of any harm which it may cause to a person for whose benefit it is done in good faith, even without that person's consent, if the circumstances are such that it is impossible for that person to signify consent, or if that person is incapable of giving consent, and has no guardian or another person in lawful charge of him from whom it is possible to obtain consent in time for the thing to be done with benefit. Ref: Textbook of Forensic Medicine and Toxicology; 5th ed; <a href=""",Forensic Medicine,Medico legal procedures,True,The question can be answered without needing to see options.
3504,90034cec-cb97-4a27-a5c3-0416d6cf365f,"A 45-year-old man has a fall from his motorcycle and is complaining of shoulder pain. Radiographs are negative for fracture and dislocation. On examination, you noticed positive lift-off test. What is the most likely diagnosis",Subscapularis tear,Supraspinatus tear,Infraspinatus tear,Teres minor tear,0,multi,"A positive lift-off test is consistent with a subscapularis injury. In this maneu ver, the patient's arm is internally rotated, the elbow flexed to 90 degrees, and hand held posteriorly at the waist. If the patient experiences pain or weakness as he tries to move his arm away from his body against resistance, the test is positive.",Orthopaedics,Shoulder and arm injuries,True,The question can be answered based on the provided information about the patient's symptoms and examination findings.
3506,69e5fa2e-3ad7-499b-9e69-2af30553b0b6,"A patient presented with unilateral proptosis, which was compressible and increases on ending forward. No thrill or bruit was present. MRI shows a retro-orbital mass with enhancement. The likely diagnosis is:",AV malformations,Orbital encephalocoecle,Orbital varix,Neurofibromatosis,2,single,Ans. Orbital varix,Ophthalmology,,True,The question can be answered based on the clinical presentation and MRI findings without needing to see options.
3508,5e2b0683-61ef-421f-81fd-4c020d9adae4,"A 60 year old woman presents with generalized edema, skin ulceration and hypeension. Urine examination shows subnephrotic proteinuria (<2gm) and microscopic haematuria. Serum complement levels are decreased and she is positive for anti-hepatitis C antibodies. The likely diagnosis is:",PSGN,Essential mixed cryoglobulinemia,Membrano proliferative glomerulonephritis,Focal segmental glomerulosclerosis,1,single,"Generalized edema, hypeension, sub-nephrotic proteinuria, hematuria, hypocomplimentemia and positive anti-hepatitis C antibodies are associated with Membranoproliferative Glomerulonephritis and Mixed Cryoglobulinemia. Mixed Cryoglobulinemia is more common in females and presents with stress ulceration, ahralgia, fatigue and Raynaud's phenomenon. The Presence of skin ulceration in a 60 yr old female suggests the diagnosis of Essential mixed cryoglobulinemia. Ref: Harrison's Principles of Internal Medicine, 16th Edition, Page 1682; Approach to Internal Medicine: A Resource Book for Clinical Practice, David Hui, 3rd Edition, Page 421.",Medicine,,True,The question provides sufficient context and clinical details to arrive at a diagnosis without needing additional options.
3511,c1e47d30-873d-4b12-9df3-a04bdfead2f1,A 5 year old child presents with itchy excoriated papules and elevated Ig E levels. Most probable diagnosis is?,Scabies,Seborrhic dermatitis,Atopic dermatitis,Urticaria,2,single,"ANSWER: (C) Atopic dermatitisREF: Roxburgh's common skin disease 17th edition page 105-112, Roxburgh's common skin disease 17th edition page 105-112, Sauer's Manual of Skin Diseases - Page 77Atopic dermatitis (AD) is a pruritic disease of unknown origin that usually starts in early infancy {an adult-onset variant is recognized); it is characterizedby pruritus, eczematous lesions, xerosis (dry skin), and lkhenification (thickening of the skin and an increase in skin markings).The skin on the flexural surfaces of the joints (for example inner sides of elbows and knees) are the most commonly affected regionsAtopic dermatitis most often begins in childhood before age 5 and may persist into adulthood.Atopic dermatitis may be associated with other atopic (immunoglobulin E [IgEJ) diseases (eg, asthma, allergic rhinitis, urticaria, acute allergic reactions to foods)The disease typically has an intermittent course with flares and remissions.Sensitization to inhalant allergens can be detected by skin prick test or elevated IgE levels.",Skin,Autoimmune Skin Disorders,True,The question can be answered based on the provided clinical information without needing specific answer options.
3514,5d6ad0ee-3edd-486c-94c0-f07ab6c1ca58,"If by extensive abrasion, erosion, caries, or operative procedures the odontoblast processes are exposed or cut, the odontoblasts die or survive, depending on the intensity of the injury. If they survive the dentin that is produced is known as",Reactionary Dentin,Regenerated Dentin,Reparative dentin,All of the above,3,multi,,Dental,,True,"The question asks for a specific term related to the process described, which can be answered without seeing options."
3517,bc51a013-fda7-4f9c-ace6-989f10dade4e,Patient developed acute redness of eye with mucopurulent discharge and halos. It did not stain with fluorescein. The halos subsided after washing with clean water and the patient responded to five day course of topical antibiotics. What should be your probable diagnosis?,Angle closure glaucoma,Uveitis,Acute bacterial conjunctivitis,Immature senile cataract,2,single,Acute bacterial conjunctivitis Approach to Question Halos of conjunctivitis are due to prismatic effect of mucus and are removed by washing unlike that of angle closure glaucoma and immature senile cataract and uveitis. Other Points in or are: Acute onset. No corneal staining.(flourscein staining is seen in case of viral kerataitis) Mucopurulent discharge.,Ophthalmology,Conjunctiva,True,The question can be answered by analyzing the symptoms and treatment without needing specific options.
3518,1cd970be-2da7-4776-92d8-791846de6edf,"A 63-year-old woman presents for workup to determine the reason for a gradual hearing loss over approximately 5 years and intermittent tinnitus over the last several months. Findings on physical and neurologic examination are entirely within normal limits, except for the presence of sensorineural hearing loss in the left ear. She has no cranial nerve deficits. An MRI of the brain with gadolinium reveals the presence of an extra-axial tumor in the region of the left cerebella-pontine angle. What is the most likely diagnosis?",Epidermoid tumor (cholesteatoma),Glioblastoma multiforme,Meningioma,Acoustic neuroma,3,multi,This cerebella-pontine angle tumor is most likely an acoustic neuroma. This is the most commonly encountered neoplasm in this region. It arises from the Schwann cells that form the myelin sheath of the vestibular division of the eighth cranial nerve (hence a more accurate name is vestibular schwannoma). This tumor typically arises within the internal acoustic canal and growths in the direction of least resistance - through the meatus into the cerebellopontine angle cistern.,Surgery,Nervous System,True,The question can be answered based on the provided clinical details without needing to see options.
3520,5dd98ac7-79f1-4b05-8cbb-c1096f76812f,A 56-year-old man is surgically treated by a four-vessel coronary aery bypass graft procedure and placed on prophylactic daily aspirin therapy. Aspirin has been shown to prevent recurrent myocardial infarction through its ability to inhibit the synthesis of,Adenosine diphosphate (ADP).,Leukotriene B4 (LTB4 ),Nitric oxide (NO).,Thromboxane A2 (TXA2),3,multi,"Aspirin Irreversibly inhibits the enzymes cyclooxygenase 1 and 2 Inhibits synthesis of Thromboxane A2 (TxA2). TxA2 promotes platelet aggregation,as does ADP. Aspirin inhibits platelet aggregation, which is an impoant early step in atherogenesis.",Pathology,Platelet,True,The question can be answered based on general medical knowledge about aspirin's mechanism of action.
3521,de73088e-3446-48d3-a6fa-fe5929150d8f,A 85-year-old female developed multiple blisters on trunk and thighs. Nikolsky's sign negative. The lesions came on and off. The most probable diagnosis is:,Pemphigus vulgaris,Bullous pemphigoid,Lichen planus,Lepra reaction,1,single,"Ans. B. Bullous PemphigoidBULLOUS PEMPHIGOID (BP)a. Autoimmune subepidermal blistering disease.b. The major histocompatibility complex class II allele HLA-DQ1*0301 is prevalent.c. Usually seen in the elderly.d. Lesions typically consist of tense blisters on either normal-appearing or erythematous skin.e. Usually distributed over the lower abdomen, groin, and flexor surface of the extremities.f. Oral mucosal lesions are found in 10to40% of patients.g. Pruritus may be nonexistent or severe.h. Non traumatized blisters heal without scarring.i. As lesions evolve, tense blisters tend to rupture and be replaced by flaccid lesions or erosions with or without surmounting crust.j. BP do not have an increased incidence of malignancy.k. Investigations:i. Biopsies of early lesional skin demonstrate subepidermal blisters.ii. Direct immunofluorescence microscopy of normal-appearing perilesional skin shows linear deposits ofiii. IgG- and/or C3 in the epidermal basement membrane.iv. In BP, circulating autoantibodies recognize 230- and 180-kDa Hemidesmosome-associated proteins in basal keratinocytes .l. Rx:i. The mainstay of treatment is systemic glucocorticoids.ii. Patients will usually respond to prednisone, 40to60mg/d.iii. In some instances, azathioprine (1to2mg/kg per day), mycophenolate mofetil (20to35mg/kg per day), or cyclophosphamide (1to2mg/kg per day) are necessary adjuncts.NIKOLSKY SIGN is seen in:a. Pemphigus vulgarisb. Staphylococcal skin scalded syndromec. Stevens Johnson Syndromed. TENe. Leukemiaf. Herpesg. Epidermolysis bullosa congenita",Skin,Vesiculobullous (Blistering) Disorders,True,"The question can be answered based on the described symptoms and typical diagnoses for the conditions presented, without needing specific options."
3525,231726eb-5cd5-49b1-acb7-02cb53429d6f,"A male patient presents with patchy loss of hair on scalp, eyebrows and beard. He also gives istory of rapid graying of hair in a few areas. The likely diagnosis is-",Alopecia areata,Anagen effluvium,Telogen effluvium,Androgenic alopecia,0,single,"History of patchy hair loss with retaining of grey hairs is alopecia areata. other options anagaen effluvium, telogen effluvium are diffuse hair loss. androgenetic alopecia is paterened hair loss or male pattern baldness which involve fronto temporal receding. Ref Harrison20th edition pg 1230",Dental,Anatomy of skin,True,"The question is asking for a likely diagnosis based on the provided symptoms, which can be inferred without needing options."
3526,71985fcf-4857-4fb7-aff7-e85b1c00c8e7,A 76 year old male comes with a history of frequent falls and difficulty in looking downwards and laterally. The diagnosis is :,Alzheimer's disease,Supranuclear palsy,Amyotropic lateral sclerosis,Oculornotor nerve palsy,1,multi,Answer is B (Supranuclear palsy):,Medicine,,True,The question can be answered based on the symptoms described without needing options.
